block_name,x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3
SS1_BEG_01-SS1_END_01,0,0,101,0,101,-1052,0,-1052
SS1_BEG_02-SS1_END_02,0,0,102,0,102,-1060,0,-1060
SS1_BEG_03-SS1_END_03,0,0,103,0,103,-1068,0,-1068
SS1_BEG_04-SS1_END_04,0,0,104,0,104,-1076,0,-1076
SS1_BEG_05-SS1_END_05,0,0,105,0,105,-1084,0,-1084
SS1_BEG_06-SS1_END_06,0,0,106,0,106,-1092,0,-1092
SS1_BEG_07-SS1_END_07,0,0,107,0,107,-1100,0,-1100
SS1_BEG_08-SS1_END_08,0,0,108,0,108,-1108,0,-1108
SS1_BEG_09-SS1_END_09,0,0,109,0,109,-1116,0,-1116
SS1_BEG_10-SS1_END_10,0,0,110,0,110,-1124,0,-1124
SS1_BEG_11-SS1_END_11,0,0,111,0,111,-1132,0,-1132
SS1_BEG_12-SS1_END_12,0,0,112,0,112,-1140,0,-1140
SS1_BEG_13-SS1_END_13,0,0,113,0,113,-1148,0,-1148
SS1_BEG_14-SS1_END_14,0,0,114,0,114,-1156,0,-1156
SS1_BEG_15-SS1_END_15,0,0,115,0,115,-1164,0,-1164
